Asana,Benefits
Bitilasana ,"1.mproves the flexibility of the spine
2. Improves the prana in the body while flexing the spine
3. Relieves tensions around the lower back, middle back, neck and shoulders
4. Engages the core muscles to the maximum, making it strong
5. Strengthens the arms, shoulders and the wrists
6. Strengthens the hip joints, the knee joints and the shoulder joints
7. Gently massages the abdominal muscles, thereby improving digestion
8. Great pose to reduce stress, insomnia and encourages good sleep
9. Improves the body posture
10. A great pose to reduce symptoms related to PMS
     A good pose to practice for Prenatal and Postnatal
11. Considered a great foundation pose for most advance backbend poses
12. ike most poses, the Cow Pose brings awareness of the body and the breath
Anyone suffering from Fibromyalgia can practice this pose in a restorative way"
Karnapidasana,"1. Ear Pressure Pose like in Halasana and Sarvangasana have the entire back stretched and lengthened, however, the muscles that are active in Ear Pressure Pose are the pelvis (they are in contraction), the core (the squeezing action helps to keep the hips stable), neck muscles as they in addition to stretching the back neck and contracting the front neck, they take the weight of the body along with the shoulders. Thus, with the above mentioned body parts, the joints like the hips, shoulders, and spine are equally active to support the entire body.
2. he extra weight around the hips and thighs can be slowly shredded with regular practice. It is one of the most powerful poses for regulating the function of the thyroid gland because of an intense throat lock and also treating ear problems.
3. Additionally, the long hold impacts the shape of the spine, hips, and shoulers, further improving the posture, impacting the breath-body-mind relationships."
Lolasana,"1. he deeper tissues, tendons, and ligaments at the wrists, abdominal area, spine, and the knees are stretched and stimulated. Building strength with these tissues supports the large muscles, thereby keeping the strength of the arms, shoulders, spine, abdominal muscles, and core muscles.
2. Students who are bodybuilders, weight lifters, tennis players, or those who require the use of elbows, wrists, and arms in their game, or otherwise as part of their profession can benefit from the practice of this pose acting both as a warm-up, as well as a recovery.
3. With the practice of Lolasana (Pendant Pose), the arms, abdomen, gluteus, chest, and thighs get toned since they tighten to hold the body in balance."
Sama Vritti,"1. Antioxidants are thrown out efficiently.
2. Helps to reduce stress and anxiety.
3. Room for fresh supply of air as the body expels out everything.
4. Keeps the diaphragm active.
5. Increases immunity.
6. The entire body comes to a state of silence, as there is no prana that is moving.
7. This silence calms the body and the mind physiologically and psychologically.
8. Prana moves from the base of the spine upwards, and when there is no inhalation or exhalation - the root of the spine also gets to be calm. This helps with meditation.
9. Helps to control the state of mind, and this is important for the practice of Meditation."
Prasarita Padottanasana,"1) Stretches, Strengthens, Lengthens: The intense stretch of the legs with the feet wide apart opens the hamstrings and quadriceps, thus increasing muscle strength and elasticity. Prasarita Padottanasana helps keep the feet firm and grounded on the floor using the calf muscles and the flexing of the ankles. There is a close relationship between calf muscles and foot strength. The toning of the calf muscles gives better support for the feet, and the firm placing of the foot helps stretch the calf muscles while increasing flexibility after that.
2) Flexibility and Range of Motion: All the muscles of the body- the shoulders, chest, abdomen, hips, back, and legs stretch in this pose, thereby increasing the range of motion for better flexibility. The primary stretch is at the legs, but the secondary stretch happens at the spine. Deep stretches of the inner tissues of the legs occur. The elongated spine creates sustainable space between the vertebrae. Due to this, the body flexibility is improved.
3) Chest, Diaphragm, and Breath: This pose is an inverted yoga pose as the head comes below the heart. Going against gravity helps the deoxygenated blood go through your veins back to the heart. It reduces the effort by the venous system to pump blood back to the heart. This pose relaxes the heart by increasing the efficiency of the Arterio-Venous Arcade in the body. The breath is rhythmic and at its natural pace. The heart is relaxed with the increased venous capacity, and the back of the lungs expands due to the upper body stretch.
4) Awareness and Focus (Concentration): In this forward bend with compressing of the abdomen and the chest, breathing can be a challenge if there is no awareness. Hence, being aware of oneâ€™s breath with the stretching makes the practice more accessible. The alignment of the hips, foot and distance between the feet in the pose is a calculated move. The student must spread the leg according to their height. Such an alignment needs focus and body awareness. The practitioner has to figure out the tightness of their body, their body height, and then flow into the pose. Any kind of jerk is injurious. So the conscious knowledge of the body capacity with alignment increases concentration and awareness."
Yoganidrasana,"1) People who are physically and mentally exhausted (Army men, Wounded Soldiers, etc.)
2) People who are emotionally depleted (Addicts, Chronically Stressed & Insomniacs, Health Care Workers)
3) People who are tired of a passive lifestyle (Traumatic disorders, Psychological baggage, Students in high stress studies)
4)People who are battling depression & anxiety (Depression, Anxiety, Marriage & Relationship issues)
5)People dealing with health issues & pain management (Cancer patients, Auto immune diseases)"
Ardha Kapotasana,"1) A great benefit for athletes with the deep stretch at the leg muscles: In this Simple Pigeon Pose with one leg stretched behind, the muscles open up at the legs giving athletes a great advantage in improving and strengthening the legs.
2) Improves blood circulation: The flow of prana becomes easy in this pose, with the opening at the base of the spine. This stretch with proper breathing, not only improves the flow of prana, but ensure a good flow of blood along with oxygen within the entire body.
3) A great hip opener: Most of us struggle with the non flexibility of our hips and all the muscles around it, but with the practice of this Simple Pigeon Pose, it can be a great start with the opening of the hip, ensuring the alignment of the hips while practicing this pose is accurate.
4) A great pose for toning the hips and sides of the back: A repeated practice of this pose, tones the hips and the sides of the back, removing the excess fat with the gentle stretch of the abdomen and the lower back.
5) Improves the flexibility of the spine: In this Simple Pigeon Pose, the gentle stretch of the back taking the spine in a backbend, improves the flexibility slowly but surely. This pose acts as a preparatory pose to the complete Kapotasana, which is an advance level pose."
Kukkutasana,"1) Strengthens the entire body with the use of the muscles like; biceps and triceps, core muscles, gluteus, and pelvic floor muscles.
2) Improves digestion and tones the abdominal muscles supporting the internal organs.
3) Improves the core strength with proper practice of bandhas, mainly Uddhiyana Bandha, but done at an advanced level.
4) Builds awareness of the body and breath, especially the central nervous system, which is essential to keep the body in good health.
5) Encourages better stability, balance, concentration, and self-confidence.
6) Helps in regulating and stimulating the adrenal gland, which is essential to keep the body healthy, happy, and also helps fight stress in the most natural way. And when stress is in control, both the body and mind remain calm and free."
Marichyasana,"1) Activation of the Adrenal Glands and Pancreas: The deep forward bend and clasping of hands gripping the thighs from behind, puts pressure on the lower abdomen while going forward with the torso. This pressure at the lower abdominal muscles helps the internal organs at the lower abdomen to function better. It helps especially with the secretion of various hormones by the activation of adrenal glands and the pancreas.
2) Better Functioning of the Reproductive System: The pressure in Marichyasana or the Sage Twist Pose at the lower abdomen also involves the activation of the reproductive organs due to the pressure at the pelvic floor muscles. This activation further improves the blood circulation at the reproductive organs. This is important for women who want to strengthen the pelvic floor muscles for easy conception and delivery.
3) Activation of the Thyroid Glands: In Marichyasana, the placing of the chin on the knee, and the slight bend at the neck upwards, creates room for the extension of the neck and activates the thyroid gland to some extent. This gland controls the hormone levels within the body and creates a good balance for better living.
4) Stronger base of the Spine and Sacrum: The grip of the thigh with interlocked wrists puts pressure at the hip in this pose. This pressure at the hip creates a sense of deep balance and ensures that the alignment of the hips and the base of the spine are perfect. This further strengthens the base of the spine and sacrum, and gives great support to the entire spine.
5) Calms the Nervous System & Improves Focus: All forward bends, including Marichyasana, helps to rejuvenate the body while calming the mind. The practice of Marichyasana, though it requires some flexibility at the lower back to go forward completely, brings the entire body and mind to rest, and calms the entire nervous system."
Virasana,"1) Aids in Digestion: This pose helps to relieve symptoms of gas and aids in digestion.
2) Spine gets its maximum stretch: This pose improves the posture of the spine which works as an advantage for long hours of meditation or pranayama.
3) Mental focus: As this pose improves the posture of the spine keeping the body upright and strong it helps in improving mental focus during pranayama and meditation.
4) Cures rheumatic pains in the knees: This pose with the flexing of the knees and the hips help in therapeutically curing rheumatic pains in the knees.
5) Curing flat feet: With the stretching of the ankles and the foot, proper arches will be formed thus curing flat feet.
6) Flexibility of the ankles: Here as the ankles gets its maximum stretch the flexibility of the foot around the ankles improves and any pain at the heels with long hours of standing brings great relaxation to the feet.
7) The circulation of blood improves for the entire leg"
Koundinyasana,"1) Builds muscles strength at the arms, shoulders, chest, abdomen, core, hips, spine and hamstrings
2) Works well in activating the internal organs while strengthening the abdominal muscles.
3) As this pose is dedicated to Sage Koundinya, the practitioner builds self confidence on his own body and mind.
4) Brings awareness and connection to the body as the focus is more towards balance.
5) A great hip opener at an advance level.
6) A great pose to master for to help with meditation, as meditation requires focus and stability.
7) While working on the core muscles, this pose helps to keep a strong and flexible back.
8) Works on the overall strength of the body, thus encouraging good blood flow while also activating the various systems and functions of the body."
Virabhadrasana,"1) Awareness and Focus: As Virabhadrasana I is compared to a warrior, the practice of this pose, if done with perfect awareness, helps in building stability and stamina, and also helps to gain self-confidence.
2) Alignment and Posture: Warrior Pose I is an excellent pose to learn about the body in terms of knee and ankle alignment. How one keeps the back foot impacts the stability and ability of the pelvis to turn forward. The breath-led spine and arms lengthening upward movement are important for feeling stable in the posture. The knee and ankle joint can be protected by checking if the knee is pointing in the same direction as the second and third toes.
3) Energizing, De-stressing, Relaxing: With the deep stretch of the arms above your head in Virabhadrasana I or Warrior Pose I, the shoulders and the neck get their equal share of stretch, reducing the stiffness. This reduction of stiffness also improves the energy levels of the body, thus making the body feel completely light.
4) Stimulation and Organs: With the muscles being activated, including the abdominal muscles, the digestive system and the reproductive system improve in their functions, thus reducing indigestion and problems related to the reproductive system.
5) Therapeutic, Healing and Ailments: The expansion of the diaphragm improving the respiratory system helps with asthma patients. The flexing of the hips and the entire leg work from the base of the spine, creating a better movement of the nerve, including the sciatic nerve. The building of stamina and stability with awareness of the body brings in fresh energy to help reduce symptoms related to insomina."
Mandukasana,"1) Tones the Abdominal muscles: The pressing of the tummy towards the thighs and the pressure of the fist placed deep into the tummy area, creates the expansion and contraction of the muscles with breathing, thus working on also toning them.
2) Tones the shoulder muscles: The expansion of the chest and the contraction of the abdominal muscles plays a great role in toning of the shoulders.
3) Cures Diabetes: The pressure on the abdominal muscles activates the pancreas, thus increasing the quantity of insulin production. And this can help in reducing or maintaining the sugar levels in the body.
4) Tones the belly, thighs and hips: This pose, Mandukasana III helps in toning the extra belly fat along with the fat around the thighs and hips.
5) Blood Circulations improves around the heart and the chest: The expansion and contraction of the muscles around the chest with deep breathing while it is compressed towards the thighs, creates the flow of fresh blood thus improving in the circulation too."
"Simhasana
","1. Exercises Facial Muscles: The roaring of the Lion pose (Simhasana) provides a good exercise to the facial muscles. It therefore maintains the firmness and luster of the facial skin.
2. Soothes Eyes: It is said that the practice of this posture brings smoothing effect to the eyes and helps in reducing eye strain.
3. Stronger Voice: This yoga pose helps in voice-related difficulties, throat related problems, and is good for singers.
4. Rejuvenates Face: This pose improves circulation of blood to the face.
5. Improves Digestion: As the abdomen is pulled in, it aids in good digestion.
6. Improves Carotid Sinus Nerves Functioning: This posture with the mouth wide open, aids in better functioning of the carotid sinus nerve.
7. Improves Thyroid and Parathyroid Glands: This pose also aids in the functioning of the thyroid and parathyroid glands.
8. Calms Mind: This pose brings calmness to the mind by removing the stress through the roaring sound of the lion."
Sitali,"1. Sitali Pranayama cools the body and is best done after the practice of daily yoga poses, bringing balance in the temperature of the body. Daily Yoga
Sitali Pranayama helps to reduce the blood pressure in the body when done with guidance from a yoga teacher. Yoga for High Blood Pressure
2. As this breathing cools the body temperature, it controls the parasympathetic and somatic nervous system and hence beneficial for those suffering from anxiety related issues, including trauma. Trauma Sensitive Yoga
3. Helps in heart related diseases and can be practiced along with heart opening series of yoga poses for better results. Heart Opening Sequence
4. As it plays a great role in the endocrine system, it keeps the internal organs like stomach, liver, spleen etc, clean from toxins."
Murcha Pranayama,"1. Swooning Pranayama when done without too much emphasis on holding the internal breath longer for those who are new to this practice, can still gain from it. The conscious use of the intercostal muscles, chest, and rib cage encourages the lungs to work efficiently .
2.the body switches from a â€˜reactionâ€™ to a logical and rational â€˜responseâ€™ in times of emotional stress, it helps one deal with negative emotions such as tension, anger in response to the mental pressure. For this reason, the Swooning Breath can be used in Therapy yoga, for people suffering from anger management issues, and/or depression.
3."
Hamsasana,"1. In Hamsasana the muscles of the arms, legs, hips, abdomen, and shoulders are engaged, especially the gluteus maximus and the biceps triceps. With repeated practice of engaging these various muscles, the flexibility is improved thereby also strengthening them. The wrists, forearms, shoulders, abdominal muscles, and core muscles are gain better strength and stability, preparing for challenging poses.
2. The pressure against the abdominal wall from the elbows along with the weight of the body, puts pressure in this cavity. This causes one to contract the abdominal muscles and strengthen them, stimulating the organs, especially the stomach. "
Katichakrasana,"Katichakrasana is good for relieving constipation as this yoga strengthens and improves the flexibility of the spine and waist. Good for arm and leg muscles and also opens up the neck, shoulders thereby strengthens the abdominal muscles.

"
Vayu Nishkasana,"Provides a positive effect on the nerves and muscles of the thighs, knees, shoulders, arms and neck.
The pelvic organs and muscles are massaged.
Provides equal stretch to the whole spine and bot the arm and leg muscles.
All the vertebrae and joints are pulled away from each other so that the pressure between them is balanced.
All the spinal nerves are stretched and toned.
Useful for relieving flatulence."
Gorakshasana,"1. In Gorakshasana, as the body is entirely balanced on the knees, the posture is all about maintaining the integrity of the body. Keeping the spine and thighs straight with the folded feet this asana provides a sense of balance.
2. Goraksasana provides flexibility to leg muscles by stretching them intensely. It also improves the elasticity and strength of the leg joints. It provides toned and stronger legs.
3. This asana tones the reproductive organs and improves their functioning. This activates the sexual organs and maintains sexual health.
3. Gorakshasana exercises the abdominal organs by improving the blood flow to the lower abdomen. This benefits the digestive organs. It has therapeutic action against Irritable Bowel Syndrome (IBS), and gastritis."
Pasasana ,"1. The dynamic range of movements of the involved joints and muscles in the Noose Pose are gradually improved with repeated practice and when the pose is held longer. 
"
kakimudra,"1) In Kaki mudra, the lips are pursed to resemble the beak of a crow. The inhaled air stimulates the wall of the mouth and pharynx. This activates the digestive secretions.
2) Kaki Mudra cools the body.
3) This mudra gives the benefits of Nasikagra Dhristi as well because the attention is held on the tip of the nose.
4) It eliminates many illnesses and keeps the body healthy.
5) This mudra is good for the skin and reduces wrinkles on the face.
6) The ancient yogis created this mudra after observing the crows. The crow lives for long number of years with good health. This mudra enhances health as well as longevity."
kumbhakasana,"1) Kumbhakasana strengthens the shoulders and arms.
2) It strengthens the muscles along the spine.
3) It tightens the abdominal muscles.
4) It helps to build stamina and endurance"
makarasan,This asana can be done as a relaxation pose between other asanas or it can be relaxation method when you are tired. You can be in this asana for a prolonged period of time if you are tired after a workout. It gives deep relaxation to the shoulders and the spine.
malasana,"1) Malasana helps to open up the hips joint and groin muscles.
2) It mildly stretches the lower hamstring muscles around the ankles.
3) Malasana stretches the muscles of the back and neck.
4) It tones the organs in the abdomen thereby improving digestion and metabolism.
5) Malasana can be practiced by women during their initial and middle stages of pregnancy. It opens up the pelvis and aids healthy natural child birth. But, avoid doing it during the late stages of pregnancy as it may trigger labor pain."
marjariasan,"1) Marjariasana loosens up the spine and make it flexible. It gets rid of stiffness in the back muscles.
2) It is good for those suffering from Spondylitis and slipped disk.
Marjariasana also has an indirect effect on the organs of the lower abdomen, including the digestive system, intestines and the reproductive organs. It gives a good massage and stretch to these organs."
matsya Kridasana,"1) This is an excellent relaxation pose. It can be used for sleeping as well.
2) It stretches the abdominal region and relieves constipation.
3) Matsya kridasana gives a gentle pull at the waist and helps to reduce waistline fat.
4) It relaxes the lower back and helps in relieving sciatic pain."
padahastasana,"1) Padahastasana makes the body very flexible. It stretches the back and leg muscles.
2) It helps to eliminate excess belly fat.
3) It improves digestion and reduces constipation. It eliminates many stomach ailments.
4) It makes the spine flexible and tones the nerves."
padangusthasana,"1) Padangusthasana gives a good stretch to the hamstring muscles.
2) It stretches the back muscles, the calf and the leg muscles.
3) It tones the organs in the abdomen and improves digestion.
4) It relaxes the body and mind.
5) The stretch is good for the organs like liver and kidneys."
parivritta parsvakonasana,"1) It gives a good stretch to the torso, neck, shoulders and hips.
2) It strengthens the muscles of the hips, legs, arms, shoulders and chest.
3) It gives a good twist for the spine and helps to make it flexible over a period of time.
4) It tones the organs in the abdomen
5) It improves digestion and relieves constipation.
6) It is an excellent pose for improving stability and balance."
pincha mayurasana,"1) Pincha Mayurasana strengthens the arms and shoulders.
2) It creates a good sense of balance.
3) It stretches the muscles of the back, shoulders and abdomen.
4) Pincha Mayurasana can calm down the mind and release stress.
4) It gives all the benefits of inverted asanas."
pranamasana,"1) Pranamasana is used as the most common form of greeting in India and many eastern countries.
2) It forms the first and last asana of the Surya Namaskara series of poses.
3) It creates a sense of relaxation and concentration for beginning the Surya Namaskara poses."
shasankasana,"1) This asana relaxes the mind and relieves depression.
2) It tones the pelvic muscles and relieves sciatic pain.
3) It can help in sexual disorders.
4) It gives a good relaxing stretch to the upper body."
supta udarakarshanasan,"1) Supta Udarakarshanasana gives a good twist to the spine and is a good exercise for flexibility of the spine.
2) It tones the organs in the abdomen and improves the functioning of all abdominal organs.
3) It improves digestion.
4) Supta Udarakarshanasana can relieve constipation.
It is good for releasing mental and physical stress."
swastikasana,"1) Swatikasana is a good meditation pose for those who find it difficult to sit in more classical poses like Padmasana and Siddhasana.
2) Even those suffering from varicose veins and aching leg muscles can sit in Swastikasana."
tolungulasana,"1) Tolangulasana can remove obesity and hence a good asana for weight loss.
2) It tones the organs in the abdomen including liver.
3) It broadens the chest and strengthens the arms, shoulders and neck muscles.
4) olangulasana gives a sense of relaxation."
utkata konasana,"1) Utkata Konasana strengthens the hips, the lower back and the thigh muscles
2) It widens the uterus before pregnancy and helps during pregnancy.
3) Utkata Konasana helps to broaden the chest and correct postural defects.
4) This asana massages the organs in the abdomen, particularly the kidneys, the ovaries, urinary system and the prostate gland.
5) Utkata Konasana enhances the functioning of organs in the thorax and improves respiration.
6) It energizes the body, relieves stress and gives a general sense of well-being.
7) It can relieve menstrual pain and cramps."
utthan prishthasana,"1) Utthan Pristhasana is a good hip opener.
2) It strengthens the thigh muscles of the front leg.
3) It stretches the groins and the hip flexors.
4) Opens the chest and neck."
vasisthasana,"1. he practice of Vasisthasana (Side Plank Pose) is mainly done to improve the strength of the arms and shoulders, while also teaching the students to engage the scapula (shoulder blades) since this is essential for all arm balance yoga poses. While strengthening the arms, they also get toned.
2. Every arm balance pose requires greater understanding of using the abdominal muscles by engaging the entire core muscles. Thus, with this practice of side arm balance, students will improve in their core strength while learning to focus on using the abdominal area effici"
vipareet karni asana,"1. Viparita Karani increases the blood flow to the brain so effective in the treatment of cerebral insufficiency and senile dementia.
2. Cures hemorrhoids, varicose veins, and a certain type of hernia.
3. In Hatha Yoga Pradipika (3.82), itâ€™s said; â€œAfter six months of practice, grey hairs and wrinkles become inconspicuous. One who practices Viparita Karani for three hours conquers death.â€
4. However, modern teachers also suggest Viparita Karani can be practiced to overcome premenstrual syndrome, menopause, menstrual cramps [efn_note] A Single Case Study on Menstrual Disorder and with Yoga Therapy
5. the pressure exerted around throat muscles in this mudra stimulates the thyroid gland. It rebalances the functions of hypoactive thyroid."
vrishchikasana,"1. it is a an inverted pose. Here the head is located below the heart which increases the blood flow to the brain.
2. Its practice is beneficial in the problem related to the neck, by practicing Vrischikasana, the risk of spondylitis can be reduced.
3. The chest is also extended while fully holding the pose. It helps in expansion of the lungs and improves the efficiency of oxygen intake.
4. Scorpion Pose stretches and tones the abdominal muscles. It strengthens core muscles and promotes stamina.
5. Regular practice of Vrischikasana helps in activating and balancing the Crown (Sahasrara) Chakra, Third Eye (Ajna) Chakra, Throat (Vishuddha) Chakra and Heart (Anahata) Chakra.
"
mudrasana,"1. Stimulates and Energizes: The forward bend in a bound is said to stimulate the internal organs especially the stomach and intestine. It also energises the body with the deep stretch of the muscles around the spine and the chest. Hence this practice is good for improving digestion and to boost energy in the body.
2. Grounding and Calmness: Though the practice of this pose is challenging, yet when done with practice helps to keep the body and mind grounded that further help in keeping mind calm.
3. Manipura Chakra and Balance: Done the right way the practice of Psychic Union Pose activates and stimulates the manipura chakra that governs the pranic energy in the body. When this energy is used efficiently there is said to be balance in the body keeping one healthy.
4. Anxiety and Depression: Since the practice of Yoga Mudrasana (Psychic Union Pose) calm the body with the deep breathing and deep stretch of the back muscles and chest, it is also said to help in keeping the anxiety levels down and controlling the symptoms of depression."
ashta chandrasana,"1. Overall flexibility of the body improves: With the deep stretch of the entire body there is a progress towards a flexible body which in turn helps in practicing of various other advance level poses.
2. Reduces the stiffness around the shoulders and neck: With the deep stretch of the arms above your head in this pose, helps the shoulders and the neck get their equal share of stretch thus reducing any stiffness. This reduction of stiffness also improves the energy levels of the body, thus making the body feel completely light and making them strong for the practice of next level poses.
3. Improves the joints while flexing them: The flexing of the knees, ankles, hips, shoulders, elbow, entire spine and neck helps to keep them strong while the muscles around these joints become strong with contraction while in Ashta Chandrasana.
4. Tones the entire body with the deep stretch: The expansion and extension of the thighs, hips, shoulders, arms and neck in this pose, works on burning the excess fat and keeps these muscles toned while adding a great toned look to the body."
bhujapidasana,"1. It helps to improve the overall sense of balance for the individual.
2. It helps to strengthen the arms, upper body, shoulders and the wrists.
3. It helps to tone the abdomen and make it strong and healthy.
4. This pose also helps to nourish the thyroid gland that performs the function of controlling the heart rate, balancing the nervous system and the digestive system and it also helps to regulate the metabolism of the body.
5. It is also very beneficial in increasing the circulation to the abdomen and the legs and also helps in massaging the abdominal organs besides relieving stress.
6. It helps one to relieve the mental and emotional stress and also headaches by improving the blood flow in the body.
7. This is a great stress buster and relaxing like any other yoga poses."
garudasana,"1. The hamstring muscles, the quadriceps, calves and the shoulders are stretched. This stretch brings flexibility and strengthens the calves and the ankles.
2. Balance : This pose improves the balance of the body and enhances concentration. It works from the core and hence the core strength is kept in mind here.
3. Stretches : This yoga pose stretches the hips, thighs, shoulders and the upper back.
4. Joints : This pose opens all the joints in the body; the shoulders, the elbows, the wrists, the hips, the knees, and the ankles.
5. Toxins : Since this asana is a twist, the pose detoxifies your body. It flushes out your kidneys, circulates blood to your reproductive system.
6. Runners : This yoga pose is considered wonderful and useful for runners. The joints filled with fresh blood acts like a great support for running and the       
7. stretching of the legs brings more strength and stamina in the legs."
kapotasan,"1. Sleeping Swan Pose massages the abdominal organs, the digestive tract, and improves the blood and the pranic flow to the spine and to the reproductive system. Similarly, the pressure received at the abdominal area, and the gropin area stimulates the spleen and stomach, kidneys and bladder respectively. Hence, promotes good digestion and enhances the function of the reproductive organs.
2. Sleeping Swan Pose is a great restorative practice for pregnant women to relieve the tired and tight hips and lower back.
3. Sleeping Swan Pose stretches and lengthens the muscles surrounding the hips, legs, neck, back, knees, ankle joint, opens arms and shoulders. This hip opening pose with a forward bend engages the hip flexors, glutes, pelvic floor muscles, psoas muscles, lower back, quadriceps, and hamstrings, making it an overall practice to strengthen the mentioned areas, thus, giving a deep opening to the entire lower body, especially the hips and groin."
muktasana,"1. his easy leads you to attain salvation. Doing this in the right heart and right way, it leads you to attain supernatural abilities.
2. This asana is the best posture for meditation and also plays a big role in concentrating your mind.
3. Liberation pose is a very good posture for beginners as it is very easy to do asanas and can be done easily, it does not require much care to do it. Liberation pose is a very good posture to meditate on.
     With regular practice of this asana, Kumbhak starts easily.
4. This pose stimulates the first chakra, the Muladhara. Muladhara stimulates sexual energy as well as the reproductive organs.
5. Eliminates sexual diseases and semen is protects.
6. By doing Muktasana, thoughts become pure and the mind concentrates. The practice of Muktasana purifies all the nerves of the body, consequently, it becomes easier to concentrate the mind.
7. It speeds up your gastrointestinal tract, aids in regulating digestion."
parshvakonasana,"1. Parsvakonasana benefits, to treat stomach-related problems like constipation. 

2.  Its benefits you back and help to treat back pain problem. 

3.  Parsvakonasana benefits to strengthen your ankles, legs and knees. 

4.  Parsvakonasana benefits your hamstring muscles by giving a good stretch. 

5.  Parsvakonasana benefits your abdominal muscles and helps to tone those muscles"
prasarita padottasana,"1. Firstly, this inverted yoga posture will reduce depression and boost your confidence level.
2. Secondly, the nervous system is rejuvenated by this posture and the heart and lungs are electrified. People suffering from blood pressure problems will find this yoga exercise very beneficial as it will effectively reduce the blood sugar levels.
3. The Prasarita Padottanasana also harmonizes the abdominal muscles and also relieves headaches caused due to excessive stress.
4. Since there is a lot stretching associated with this yoga exercise, the wide-legged forward bend yoga posture will successfully reduce lower back pain."
samakonasana,"1. Practicing challenging hip opening sequence like Samakonasana (Center Splits Pose), helps to release tensions accumulated at the hips and psoas muscles. Reducing and releasing these tensions makes for a stronger body that encourages self confidence and teaches self control. When the body along with the breathing process supports students in Samakonasana practice, it gives a sense of joy. 
2. Strong and flexible muscles of the lower body benefits by giving support to the spine and upper body. With an overall flexible body, challenging yoga poses can be mastered with ease. The stretching of the hips while opening them is the most challenging part of a yoga practice and working on the same helps to establish a balanced body."
tittibhasana,"1. Tittibhasana (Firefly Pose) Makes your wrist stronger along with improves the strength of the arms.
2. It tightens and tones the area of the belly.
3. Stretches your back torso, inner groins, and hamstrings.
4. The Yoga pose also helps in bringing an overall sense of balance and improves core strength.
5. Firefly Pose gives the back torso and inner groins a good stretch.
6. Tittibhasana Good for your mind.
7. Improves digestion."
supta trivikramasana,"1. Supine Splits Pose is believed to activate the Svadisthana (sacral) chakras. Svadisthana is associates with creativity, sexuality, joy, and pleasure also.
2. This asana also stimulated the Muladhara (root) chakras. Muladhara offers a sense of security and safety.
3. Due to stretch in all the parts of the body, there is never an accident in the body and the body remains flexible.
4. By doing this asana, all the muscles of your legs become very strong.
5. The lower abdominal muscles and inner thigh muscles are stronger and improve digestion.
6. Doing it reduces all menopausal and menstrual disorders."
tulasana,"1. Tulasana strengthens your arms, wrists and upper body region.
2. Makes your shoulders strong.
3. It relaxes the muscles and calms the mind.
4. Increases the sense of balance.
5. Includes tightening of the abs and subsequently, brings about a rigid stomach.
6. The muscles of your midriff (abdomen) are pulled up tight and thus, your lungs show signs of improvement supply of oxygen as you inhale profoundly.
7. While fortifying your abs, it likewise gives an interior incitement to the internal organs.
8. In totality, Tolasana enhances the feeling of equalization of your body and has a quieting impact on your entire personality and framework.
9. In Tolasana, you have to utilize your eyes for centered consideration. This evacuates basic imperfections of your eyes."
Upavistha Titli Asana,"1. Titli Asana is the Best exercise for relaxing and stretching the aching thighs.
2. Butterfly Pose helps to open up the hips and thighs and improves flexibility.
3. Titli Asana is a nice stretch for relieving stress and tiredness.
4. It stimulates the reproductive and digestive organs.
5. Helpful for girls throughout menstruation because it helps to alleviate a number of the discomfort and pain related to menstruating.
6. Very useful for girls after menopause.
7. Butterfly Pose is Good for pregnant ladies.
8. Useful to the kidneys, bladder, endocrine gland, and ovaries.
9. Regular practice of this posture will facilitate in easing the pain related to natural childbirth."
uttana shishoasana,"1. This pose also increases the elasticity of the hips and hamstring muscles. Stretching the upper and lower body simultaneously, Uttana Shishosana is beneficial in improving overall posture.

2. Activates abdominal muscles
The core muscles are also stimulated while stretching the lower back. The abdomen remains pulled in and it massages the abdominal muscles leading to their activation.

3. Improves blood circulation
Uttana Shishosana is considered as a heart-opener because the chest expands while stretching the shoulders and back. With the inhalation, the heart lifts up and on exhalation, it melts to the floor."
agnistambhasana,"1.Stretches and opens the muscles around the hips. Hip Opening Yoga Sequence
2. Stretches and strengthens the groin and gluteus.
3. Improves the flexibility of the knees, with deep stretches.
4. Agnistambhasana (Fire Log Pose) is a good pose to avoid arthritis. Yoga for arthritis in knees
5. As Agnistambhasana (Fire Log Pose) stretches the quadriceps and the hamstrings, it is a good cure for Irritable Leg syndrome, while also toning the thighs and calves.
6. Agnistambhasana is said to activate the Muladhara Chakra (Root). Yoga for Muladhara Chakra
7. Brings a sense of power with endurance and self confidence. Power Yoga for weight loss"
